=========================================================================
 DAFTAR MAHASISWA & ASISTEN LABORATORIUM (PROTOTYPE/DEMONSTRASI)
=========================================================================

INFORMASI LOGIN ADMIN/ASLAB:
- Username: NIM Aslab atau ID Aslab (misal: 201080200015 atau ASLAB-20-01)
- Password: aslab

INFORMASI LOGIN MAHASISWA:
- Username/NIM: Menggunakan NIM masing-masing dari daftar di bawah (Password tidak diperlukan/Auto-login)


-------------------------------------------------------------------------
 ANGKATAN 2020 (80 Mahasiswa)
-------------------------------------------------------------------------
No.   NIM             Nama Lengkap                  Kelas    No. Telp       Status
-------------------------------------------------------------------------
1     201080200001    Budi Sinaga                   IF-A2    089963736826   MAHASISWA
2     201080200002    Citra Silalahi                IF-B2    081334923568   MAHASISWA
3     201080200003    Dwi Saragih                   IF-C2    085672452065   MAHASISWA
4     201080200004    Eko Girsang                   IF-A1    081229213808   MAHASISWA
5     201080200005    Fajar Tambunan                IF-B1    082240216885   MAHASISWA
6     201080200006    Gita Pakpahan                 IF-C1    085764544887   MAHASISWA
7     201080200007    Hari Simatupang               IF-A2    089920248439   MAHASISWA
8     201080200008    Indah Nugroho                 IF-B2    081376628788   MAHASISWA
9     201080200009    Joko Ramadhan                 IF-C2    085687259297   MAHASISWA
10    201080200010    Kartika Budiman               IF-A1    081213232130   MAHASISWA
11    201080200011    Lukman Cahyono                IF-B1    082211541538   MAHASISWA
12    201080200012    Mega Raharjo                  IF-C1    085747936739   MAHASISWA
13    201080200013    Nur Hadi                      IF-A2    089931612353   MAHASISWA
14    201080200014    Ony Hasanah                   IF-B2    081357473327   MAHASISWA
15    201080200015    Putu Sari                     IF-C2    085635988201   ASISTEN LAB
16    201080200016    Rian Fauzi                    IF-A1    081210326057   MAHASISWA
17    201080200017    Siti Wijaya                   IF-B1    082231055173   MAHASISWA
18    201080200018    Teguh Siregar                 IF-C1    085761341468   MAHASISWA
19    201080200019    Utami Harahap                 IF-A2    089952355972   MAHASISWA
20    201080200020    Vera Hutapea                  IF-B2    081374787785   MAHASISWA
21    201080200021    Wawan Panjaitan               IF-C2    085699169032   MAHASISWA
22    201080200022    Yeni Sitorus                  IF-A1    081249034586   MAHASISWA
23    201080200023    Zainal Marpaung               IF-B1    082237091715   MAHASISWA
24    201080200024    Aditya Ambarita               IF-C1    085713880138   MAHASISWA
25    201080200025    Bayu Sipayung                 IF-A2    089950077526   MAHASISWA
26    201080200026    Candra Sumbayak               IF-B2    081364444957   ASISTEN LAB
27    201080200027    Diana Manik                   IF-C2    085638979334   MAHASISWA
28    201080200028    Elga Silaen                   IF-A1    081214460993   MAHASISWA
29    201080200029    Farhan Sitompul               IF-B1    082215969506   MAHASISWA
30    201080200030    Guntur Pratama                IF-C1    085784801002   MAHASISWA
31    201080200031    Hesti Wibowo                  IF-A2    089974818654   MAHASISWA
32    201080200032    Irma Gunawan                  IF-B2    081321018776   MAHASISWA
33    201080200033    Junaedi Susanto               IF-C2    085691866730   MAHASISWA
34    201080200034    Kurnia Utomo                  IF-A1    081226526203   MAHASISWA
35    201080200035    Lestari Hartono               IF-B1    082239156605   MAHASISWA
